Date,Reliance,SBI,TCS,Wipro,Bajaj Finance,Bharti Airtel,HDFC Bank,Hindustan Unilever,ICICI Bank,Infosys
3/1/2017,637.497925,288.110413,1105.365601,190.702667,1159.498047,312.877563,702.955139,848.515442,243.950165,447.008118
4/1/2017,673.356934,284.526215,1033.251953,182.770584,1263.556763,317.74884,753.609985,870.106445,245.404099,401.83728
5/1/2017,647.053894,283.102356,1157.547607,198.024567,1313.804077,332.094482,797.320801,992.998169,287.655914,427.243103
6/1/2017,666.020996,271.146637,1073.797119,191.072464,1359.496826,339.378998,805.044556,1004.724182,281.236603,409.096069
7/1/2017,779.534241,309.641235,1145.301636,213.334045,1686.227539,374.461029,875.316589,1085.252808,295.609283,448.953827
8/1/2017,775.186829,275.209137,1150.625854,221.210648,1768.800171,383.229065,871.41687,1145.348999,291.164368,406.220612
9/1/2017,759.289307,251.527771,1122.786255,207.269409,1824.537354,348.956207,885.765076,1102.295654,270.20993,399.538727
10/1/2017,914.812744,303.002502,1209.462891,217.475723,1787.362549,445.502686,887.13855,1161.969482,293.167053,409.284119
11/1/2017,896.046936,317.419434,1218.76355,215.88562,1714.353394,444.830688,909.310852,1194.834717,300.444885,439.420776
12/1/2017,895.56073,307.065002,1248.435547,232.415421,1743.785278,474.578644,918.483948,1292.772949,306.745911,469.110229
1/1/2018,934.696838,310.384369,1438.460083,225.352356,1665.515015,394.115784,983.872681,1294.190674,344.796051,517.819641
2/1/2018,928.133606,265.548309,1406.059326,217.258255,1628.191528,386.435699,924.272278,1245.422729,306.013184,527.881165
3/1/2018,858.271973,247.613892,1319.936646,208.613922,1754.555542,359.519104,925.204346,1260.166626,271.919495,509.513916
4/1/2018,936.641479,244.145905,1636.329834,206.833115,1893.675171,369.302826,953.753662,1426.081421,277.634338,539.991089
5/1/2018,895.852478,267.084137,1613.166138,194.330383,2094.388428,336.885712,1049.4823,1523.002563,279.197357,554.531921
6/1/2018,945.538208,256.977448,1726.27478,194.033585,2279.468018,344.415161,1040.881714,1551.072632,269.037628,588.475403
7/1/2018,1160.289917,290.815033,1812.646973,205.089417,2678.065918,352.215118,1075.956909,1648.953979,297.22113,619.399658
8/1/2018,1214.733521,306.767761,1945.673584,223.528183,2840.4729,346.128448,1017.555542,1695.09021,338.42691,653.88385
9/1/2018,1230.680176,263.071198,2044.249634,240.408737,2155.760254,307.240967,990.329651,1531.589844,303.176849,662.504944
10/1/2018,1038.244263,278.825745,1814.380249,245.751129,2369.098877,265.313538,943.776428,1544.254761,352.242798,622.893555
11/1/2018,1142.239746,282.04599,1846.439087,240.891037,2523.372803,284.507568,1050.755005,1679.769043,352.391632,612.292725
12/1/2018,1096.943481,293.193085,1775.893188,245.49144,2630.216309,285.922974,1047.422729,1742.640625,357.352814,604.495178
1/1/2019,1200.547852,290.963654,1889.451538,273.947235,2560.313477,280.341766,1026.81189,1688.627563,361.619415,687.608032
2/1/2019,1204.363281,266.588715,1864.68689,274.497528,2634.044922,291.000977,1025.627197,1659.32251,347.43045,677.32135
3/1/2019,1333.69751,317.815765,1881.796875,252.794632,3007.921875,304.771027,1144.77478,1634.56665,397.389435,686.13031
4/1/2019,1362.606812,307.114563,2125.006836,296.200287,3078.471191,319.175018,1144.058838,1683.312378,404.335052,693.048157
5/1/2019,1301.314941,349.275299,2065.0271,284.145905,3447.526123,347.574921,1197.32605,1712.808838,420.409241,680.503601
6/1/2019,1225.935181,357.945251,2093.842041,278.292358,3660.318115,345.432495,1206.409668,1711.946899,433.705139,675.199707
7/1/2019,1140.968018,329.161041,2090.409668,263.211945,3233.690186,336.414276,1118.484131,1665.527466,421.302246,742.407349
8/1/2019,1221.484009,271.344818,2146.494629,252.397766,3319.494141,345.58197,1106.711548,1815.281982,408.45401,762.285278
9/1/2019,1310.58728,268.322693,1994.218506,237.912689,4030.259277,365.760834,1222.1604,1911.790161,432.433838,753.632446
10/1/2019,1440.539185,309.542145,2156.040771,257.259216,4011.831543,372.935547,1225.047974,2098.343994,461.69812,641.333557
11/1/2019,1525.927856,338.722748,1989.358398,235.829193,4058.299561,440.896027,1269.455688,1973.455933,511.103455,666.533325
12/1/2019,1489.431152,330.696838,2094.433838,243.865463,4218.223145,454.199127,1266.618042,1864.568115,537.326721,699.843262
