Date,APOLLO_HOSPITALS,BANK_OF_BARODA,BERGER_PAINTS,BRITANNIA_INDUSTRIES,CIPLA,GODREJ,HAVELLS,INDIAN_OIL,MUTHOOT_FINANCE,SHREE_CEMENT
1/1/2014,897.948181,103.466599,69.205666,402.633575,397.293854,237.19194,142.360764,37.810665,104.557594,4281.605957
2/1/2014,892.331177,105.634651,71.714821,404.525848,371.849243,249.239471,140.738998,38.242268,137.04071,4543.439453
3/1/2014,887.004822,138.381104,77.835167,384.532013,371.220398,269.326752,170.416946,43.005203,144.138763,5475.276855
4/1/2014,862.938599,157.209824,81.615875,394.107178,385.055267,252.282394,171.271042,40.485008,150.520676,5517.518555
5/1/2014,879.596069,161.794708,83.836838,401.128906,371.655762,245.973694,178.376648,55.621597,164.124222,6606.575195
6/1/2014,963.705994,168.269196,98.145889,459.081146,423.705963,261.402466,216.309891,53.201603,157.196472,7036.807129
7/1/2014,979.055969,169.011993,101.926605,521.638611,441.459106,266.872833,222.601517,51.082165,145.482315,7147.071289
8/1/2014,1137.833618,169.050797,117.478455,578.324341,497.572693,312.664978,263.826141,55.313324,164.08223,7642.899414
9/1/2014,1091.108276,175.194748,129.333954,644.358704,608.110229,312.782959,246.157104,57.165894,170.42215,8187.635742
10/1/2014,1087.798096,180.630157,135.637512,706.264343,648.346375,307.258575,264.384033,57.513786,166.384308,8865.918945
11/1/2014,1137.161377,211.243134,134.23671,760.858521,617.100159,302.353149,296.281281,57.671925,168.872452,8738.548828
12/1/2014,1098.166992,210.524887,137.482407,848.873352,608.207336,308.334137,256.061066,52.437645,165.853012,9165.254883
1/1/2015,1276.245728,187.667068,156.649353,871.200073,676.482544,337.41626,241.135376,54.912445,182.287354,10669.10254
2/1/2015,1268.407837,175.631531,154.32608,961.129333,650.387329,364.114624,254.247635,52.674839,189.404587,10689.01758
3/1/2015,1329.455078,158.50029,143.067184,995.703247,691.206543,331.101807,283.773468,58.241203,180.303162,10485.10742
4/1/2015,1109.75354,163.984222,144.129257,993.304504,619.141235,336.41452,260.338837,56.976131,158.433868,9942.47168
5/1/2015,1182.143677,157.772339,144.917221,1175.79248,632.164429,334.044495,256.479492,56.288246,169.260666,10704.64648
6/1/2015,1281.69812,139.96167,133.645889,1274.717163,598.974426,392.472168,262.338196,60.81881,174.436844,11027.45117
7/1/2015,1321.7146,176.127167,149.3367,1456.005615,689.262878,437.003113,261.967865,68.195824,170.554718,11089.23731
8/1/2015,1312.706909,183.32515,145.93779,1358.605713,662.341675,425.698975,244.017807,65.570786,149.418686,10518.75195
9/1/2015,1409.663818,181.984848,150.611115,1430.016113,621.60791,387.995544,237.110321,63.586174,140.317261,11468.47363
10/1/2015,1284.397217,159.149872,152.46666,1496.880615,672.336548,403.329041,237.9561,64.17086,157.782349,12004.8291
11/1/2015,1290.75354,178.559601,151.401428,1356.286377,627.650635,392.766571,268.405518,67.668022,158.262833,10808.79004
12/1/2015,1430.444092,155.625336,184.355148,1374.724609,633.010864,421.157806,286.402527,68.922173,160.334503,11184.30371
1/1/2016,1438.657959,124.8974,182.843155,1244.451172,570.830627,390.978058,278.320282,64.492439,170.737717,10210.11523
2/1/2016,1435.33313,131.052917,154.322235,1279.541626,501.925537,379.720764,255.812286,59.04974,155.244537,9824.456055
3/1/2016,1295.153931,146.044571,168.504593,1241.065186,499.196625,440.866577,305.974915,64.195473,159.039688,12122.93457
4/1/2016,1288.744629,156.866364,178.118652,1325.324219,523.367065,422.72818,316.181976,70.632149,183.061539,12452.99609
5/1/2016,1346.000488,141.676132,195.106949,1255.189209,460.407013,475.145752,346.091095,67.833931,209.838928,12896.47168
6/1/2016,1289.481323,152.895065,191.040787,1278.753296,488.719543,513.201416,341.106232,71.888489,264.025848,14210.82715
7/1/2016,1335.001099,151.107971,229.345459,1359.023315,514.741699,509.662506,372.001495,88.661377,297.8927,15739.78906
8/1/2016,1324.689087,161.68158,252.313782,1613.322021,558.063232,486.987366,400.440216,93.939629,339.16507,16707.83594
9/1/2016,1300.235229,166.09964,252.992065,1572.682983,565.518982,507.693176,400.248718,95.081749,315.955017,16638.20117
10/1/2016,1314.033569,154.731796,250.763474,1544.422607,561.798523,513.109192,389.141357,106.983414,324.39917,16476.59766
11/1/2016,1176.885132,163.071518,221.259064,1418.908691,554.07251,465.310669,329.295532,101.286446,272.334473,15225.49707
12/1/2016,1158.470703,151.753326,204.01181,1346.319092,555.686157,484.825836,328.242279,107.861137,254.904388,14400.10352
1/1/2017,1208.606323,163.915436,204.690048,1460.738892,561.602844,506.98587,401.110474,121.242332,276.71463,15138.2666
2/1/2017,1276.812256,163.865784,224.553452,1508.408081,570.355774,529.354248,387.848694,127.50235,321.102753,15734.96387
3/1/2017,1145.752808,171.709091,234.000702,1580.203491,579.25531,535.898499,448.268982,132.617905,333.610901,16749.36133
4/1/2017,1212.338257,186.154709,253.185822,1694.413086,544.53717,559.243774,462.871368,152.702881,360.750031,18956.29883
5/1/2017,1188.277222,176.72287,243.787064,1650.34082,503.266571,581.161072,467.611176,149.87442,378.920593,17714.66406
6/1/2017,1253.045898,159.944122,238.506287,1725.82666,542.141174,623.343201,440.273651,133.580292,417.234833,16674.56836
7/1/2017,1234.484375,165.600006,240.347305,1831.9552,546.346436,668.259827,455.584808,127.489563,434.25824,18342.17188
8/1/2017,1064.239624,137.649994,240.203873,1979.01416,561.097046,599.480286,471.016937,157.544266,436.139557,17337.95703
9/1/2017,988.618713,137.5,238.984299,2040.791626,574.101257,591.991638,465.712158,139.165268,435.405396,18298.30469
10/1/2017,1022.854309,169.850006,259.180145,2184.218506,614.095459,604.080933,467.49649,144.122406,452.382965,18698.08789
11/1/2017,1094.151978,169.050003,251.618881,2246.888428,589.215637,621.568604,492.284271,136.886719,406.222382,16970.49805
12/1/2017,1190.186523,160.5,264.399872,2215.412354,595.889526,646.66626,542.197571,135.112579,435.359497,17775.73633
1/1/2018,1147.081909,156.949997,244.008881,2195.093994,576.554932,681.580139,503.520844,145.32254,380.480743,16961.52539
2/1/2018,1187.816406,142,242.447815,2341.833252,578.419678,691.416809,489.197876,131.929581,358.272217,16452.05273
3/1/2018,1049.368774,142.199997,250.204239,2335.538086,533.174622,707.75946,470.438263,128.701157,383.105377,15962.4707
4/1/2018,1075.09314,148.649994,279.229675,2587.016602,595.398804,723.435608,527.392395,118.480988,424.74826,16616.3457
5/1/2018,937.830444,137.050003,290.498352,2786.11377,514.772339,739.662415,526.186707,127.058617,362.988953,16608.75391
6/1/2018,1033.124268,112.800003,274.400238,2911.007324,603.544861,798.627869,523.630798,113.845398,356.549774,15345.73242
7/1/2018,941.237366,153.449997,307.474609,3067.75293,627.884888,859.752258,611.738403,120.050499,379.956299,16833.17383
8/1/2018,1170.337769,152.899994,328.218231,3175.57959,647.808411,943.566162,708.539734,113.626396,385.079407,18738.26563
9/1/2018,1030.062988,99.400002,287.350403,2735.797607,644.29657,752.524109,581.534119,113.257141,378.593262,16638.7832
10/1/2018,1136.688477,110.800003,274.790741,2657.344238,619.246643,709.574463,628.812561,102.057098,383.998383,13733.39258
11/1/2018,1252.15271,104.699997,313.499878,2979.90625,532.459473,735.040588,670.119873,98.767334,424.936279,16283.49023
12/1/2018,1248.581665,118.849998,324.440521,2941.375244,512.833679,801.571533,677.657043,101.354782,485.614594,17010.97461
