Date,BIOCON,DABUR,DLF,GAIL,HAVELLS,IDBI_BANK,MARICO,INFO_EDGE,PIRAMAL_ENTERPRISES,VEDANTA
1/1/2014,70.063148,157.456741,125.588043,78.874115,142.711838,54.175896,93.528847,479.473022,448.831909,107.013512
2/1/2014,73.628532,158.784119,128.921829,81.614799,140.897476,55.246021,92.217697,609.788818,448.306946,100.907394
3/1/2014,68.159988,164.459869,161.163712,83.840683,171.155258,64.420815,91.828453,600.771484,443.016602,107.098732
4/1/2014,75.636078,164.093674,128.008469,82.514137,171.693054,67.281754,90.332092,567.174377,436.59552,105.281105
5/1/2014,70.231773,172.515778,191.898499,84.230858,178.882233,92.339775,108.022148,688.327332,546.03717,159.299057
6/1/2014,85.240158,171.646118,196.419693,103.237427,216.1371,107.976372,108.066437,653.469849,559.848572,166.058426
7/1/2014,75.499565,190.758698,181.075119,97.195473,222.825439,88.171051,113.20295,669.225952,524.350769,164.86557
8/1/2014,75.283173,214.091553,161.940079,98.85643,264.313965,75.11599,120.553505,735.579407,601.829407,158.31662
9/1/2014,80.823341,204.473083,139.186386,101.58519,246.317947,60.181808,137.269379,826.876892,669.3349,155.660385
10/1/2014,72.671242,209.652115,115.104408,119.519966,265.430023,69.824745,137.822861,819.199951,704.266479,146.206512
11/1/2014,74.050201,222.981018,137.571671,110.343506,297.097473,71.60498,143.092255,942.123901,707.061096,132.154251
12/1/2014,69.037292,216.362885,126.776306,100.534172,256.083252,72.346741,144.416916,827.36853,728.063782,123.372536
1/1/2015,67.285187,237.189255,156.763428,95.606934,240.365738,70.022552,160.251083,826.444092,728.194824,116.154221
2/1/2015,68.52626,245.427185,143.892029,91.922791,254.73465,74.374229,158.896408,794.483765,791.508301,124.925484
3/1/2015,76.134872,245.797485,146.014206,87.650978,283.891052,70.220352,172.056259,817.152832,760.593811,108.993446
4/1/2015,73.433731,233.162781,125.899757,81.435402,260.221832,73.681915,179.170456,748.221497,819.235413,120.698036
5/1/2015,73.984856,249.777603,108.64563,87.888313,256.455231,70.517059,196.074997,794.580933,816.048035,112.990837
6/1/2015,75.583069,259.265259,107.861351,88.645477,262.872437,60.033455,200.557648,830.919556,810.458801,100.16468
7/1/2015,74.976563,272.223877,106.154411,80.226189,262.310822,65.028,196.275726,810.147644,803.603455,74.915024
8/1/2015,72.747269,253.429001,102.325272,66.92485,244.500748,60.231262,180.88765,731.452271,869.283569,57.5326
9/1/2015,72.878403,256.167023,128.632324,69.059036,237.075989,78.75,180.285538,778.600098,776.539612,49.396973
10/1/2015,74.574966,250.366119,109.105682,70.463966,238.344788,85.650002,172.703018,736.132813,834.560242,58.290764
11/1/2015,75.673225,252.964859,107.326279,82.857124,268.560852,93.550003,188.871628,877.674194,848.039063,54.351601
12/1/2015,84.926453,258.24408,108.637413,85.689865,286.37088,88.849998,202.619995,833.2052,896.508484,54.502327
1/1/2016,80.213776,233.720474,90.234612,84.204948,278.852112,58.700001,198.588181,775.207397,886.868225,43.258213
2/1/2016,76.959991,221.132294,83.304291,69.710106,255.825928,58.549999,212.117111,683.572937,810.593323,42.564869
3/1/2016,79.230278,233.021103,107.466743,82.031662,305.135559,69.400002,220.34993,748.795959,925.161865,54.170734
4/1/2016,96.98143,257.171753,123.417671,82.940819,315.43811,69.349998,234.67601,735.880493,1082.634155,62.581211
