Date,ASIAN_PAINTS,BHARTI_AIRTEL,ICICI_BANK,INFOSYS,MARUTI_SUZUKI,NESTLE_INDIA,RELIANCE_INDUSTRIES,SBI_BANK,TATA_STEEL,WIPRO
1/1/2014,445.843719,277.809784,162.58078,377.932648,1518.716309,4537.306152,392.633392,143.89595,283.339905,202.107574
2/1/2014,446.504669,253.435883,171.659683,390.268341,1473.164551,4362.35498,377.700287,144.471298,273.713531,210.877716
3/1/2014,515.942017,281.115509,204.841919,334.964539,1830.799194,4504.789063,439.252258,180.935776,313.332642,191.742355
4/1/2014,476.904114,288.828766,204.735016,324.580078,1781.207764,4292.374512,441.993164,197.843033,318.702698,184.462799
5/1/2014,480.963654,303.241516,233.28743,300.501129,2107.638428,4442.321777,503.35614,241.899597,377.892578,178.455383
6/1/2014,559.558655,296.982788,233.295609,336.212036,2264.446045,4472.391113,483.838257,257.080719,420.296051,192.572784
7/1/2014,598.622681,328.452911,250.064667,348.56189,2344.451904,4634.296387,479.68985,233.520508,440.264679,192.113403
8/1/2014,593.865234,325.896545,264.248596,372.205353,2585.769531,5424.063965,476.471252,235.501816,416.883392,201.640167
9/1/2014,598.860596,357.883728,243.656021,388.117828,2858.157227,5406.972656,450.770172,233.769379,372.84494,212.677933
10/1/2014,625.998718,352.61618,275.945435,419.580261,3113.720459,5649.004395,476.447418,258.588318,397.238617,200.944717
11/1/2014,709.525574,338.141449,297.870605,454.939728,3111.621826,5638.726074,472.465851,307.67572,384.209747,208.808456
12/1/2014,717.205627,312.379181,299.63623,411.436432,3104.34668,5777.923828,424.926025,298.487061,324.179504,197.50322
1/1/2015,818.048523,329.996674,306.554169,447.243073,3399.969482,6446.601563,436.465302,296.716278,316.954773,216.22644
2/1/2015,769.91687,314.680939,284.3573,473.041351,3363.500244,6370.972656,407.998627,287.096954,284.9711,235.401535
3/1/2015,771.586304,348.720856,267.635468,462.657379,3450.336426,6294.981445,393.240784,255.558884,257.208649,225.81572
4/1/2015,727.843262,337.875916,281.174225,405.425262,3480.929199,5967.624023,411.431732,258.47818,292.642334,193.713043
5/1/2015,750.835754,376.519318,269.333099,422.123138,3530.73584,6218.083984,418.250427,266.231079,266.665741,202.003983
6/1/2015,719.781555,371.738678,261.438995,411.332123,3752.021973,5775.949219,482.541412,254.715439,247.345673,195.727341
7/1/2015,845.755859,370.587799,261.182281,456.847687,4039.018066,5773.581055,483.120239,262.081604,200.750214,204.719666
8/1/2015,814.236145,313.839905,240.115005,464.115234,3887.078857,5439.57666,413.255493,239.498428,188.054642,208.108994
9/1/2015,807.039917,300.881042,233.337219,491.766357,4399.960938,5780.227539,415.040131,229.951431,177.06636,217.468353
10/1/2015,795.141907,310.450439,239.165253,481.426392,4174.160645,5624.716309,457.171143,229.902954,206.187454,208.7827
11/1/2015,808.56488,297.765411,236.661362,465.49823,4294.30957,5345.413574,466.889984,242.745361,192.232712,208.564194
12/1/2015,850.31842,302.572327,225.739182,472.383759,4330.574219,5301.222656,488.401642,217.496719,216.883286,203.866333
1/1/2016,835.887451,257.885315,198.671219,498.172363,3844.629883,5011.546387,499.229858,174.414154,208.944977,204.376175
2/1/2016,816.357666,281.964691,164.048355,463.48819,3042.525879,4575.023926,466.190613,153.527115,208.151123,191.071732
3/1/2016,835.743225,312.364349,204.240219,520.88147,3489.624756,5265.611328,504.149536,188.322708,266.978271,207.040314
4/1/2016,835.165771,323.847656,204.283386,517.845276,3560.794434,5242.701172,478.781616,183.137299,292.924072,203.493774
5/1/2016,946.765076,313.031982,211.708725,534.524292,3910.732666,5566.728027,467.281708,198.548157,279.470673,200.737427
6/1/2016,965.573425,325.939575,207.391663,500.695557,3926.918457,5951.846191,472.398193,211.92363,268.983734,205.202713
7/1/2016,1078.133667,322.289825,231.610977,464.643982,4461.794922,6572.691406,494.837677,224.919632,296.433624,200.406662
8/1/2016,1121.222534,295.406372,227.073013,448.571045,4740.89209,6016.741211,515.547302,247.99588,316.530548,180.588089
9/1/2016,1123.979004,280.644562,222.314804,449.133484,5176.869141,5906.75,527.290833,246.17923,319.90564,175.857071
10/1/2016,1034.900269,284.755341,244.167389,431.546234,5551.112305,6380.709473,513.354492,253.200302,345.581818,169.984741
11/1/2016,938.035461,289.983063,233.505447,426.552856,4973.023438,5749.115234,483.751923,253.740372,354.553528,171.236526
12/1/2016,864.250977,272.870026,224.958267,441.967285,5029.287109,5540.668457,526.316223,245.246353,334.174927,174.51326
1/1/2017,941.285583,310.893982,237.074127,406.37204,5571.143066,5381.912598,508.432953,255.311508,395.097137,168.291138
2/1/2017,993.304504,326.309113,243.550598,442.666962,5596.039063,5762.235352,603.380371,264.345642,412.399719,179.851746
3/1/2017,1038.633301,312.725983,244.167389,446.383911,5691.891113,6154.811035,642.825989,287.323669,412.399719,190.574387
4/1/2017,1086.434448,316.345154,245.401016,402.042877,6165.435547,6174.339844,679.664795,284.230469,383.519348,182.716202
5/1/2017,1117.558472,332.25174,287.520081,427.208771,6816.796387,6132.655273,653.253906,283.34668,431.411194,198.635925
6/1/2017,1070.581543,338.819916,281.184631,409.148773,6819.630859,6229.628418,672.574768,271.096802,465.119202,191.369431
7/1/2017,1126.161255,373.358734,294.970642,449.008789,7282.641113,6254.831543,786.404419,309.69043,484.942444,213.742096
8/1/2017,1134.61145,383.286957,290.769989,406.38562,7277.491211,6579.933105,782.130371,274.8125,554.855652,221.174988
9/1/2017,1084.978638,348.169861,270.548462,399.037567,7608.534668,6707.213867,767.798218,251.428406,566.204956,207.788376
10/1/2017,1146.801147,445.816864,293.016815,409.204956,7841.329102,6706.144531,923.537109,303.002197,611.950073,217.440063
11/1/2017,1117.299438,445.10022,300.685364,438.909912,8208.913086,7104.458496,905.671021,317.518158,604.5578,215.812943
12/1/2017,1127.180542,474.259949,306.742035,467.879425,9286.332031,7285.552246,904.149475,306.668335,636.996887,231.788132
1/1/2018,1101.042725,393.85788,344.791748,518.00769,9079.064453,6961.466309,943.513733,309.888611,643.561768,225.316696
2/1/2018,1089.16626,385.276978,306.253632,528.632141,8467.37793,7240.818848,934.973328,266.291168,613.1203,217.258606
3/1/2018,1090.967163,359.627899,271.964935,510.692078,8457.835938,7649.098633,866.601318,247.811813,521.111145,208.836884
4/1/2018,1168.309448,369.229401,277.875122,539.954346,8419.330078,8772.101563,945.427856,244.04657,542.835449,206.833466
5/1/2018,1270.96167,336.999023,278.998535,554.585449,8144.644531,9006.550781,904.394897,266.737061,525.264282,194.330719
6/1/2018,1230.562866,343.490143,269.131958,588.281921,8417.802734,9210.547852,955.097168,256.927612,518.327087,193.959702
7/1/2018,1416.558838,352.235199,296.924377,619.358887,9071.669922,9894.774414,1171.203125,290.715637,513.763123,205.386551
8/1/2018,1341.050781,345.608765,338.475342,653.389526,8681.229492,10870.80469,1225.622559,306.024292,559.005432,223.825348
9/1/2018,1265.689331,306.912079,302.63147,660.513245,7139.243164,9130.741211,1242.659424,262.57547,539.215149,240.55751
10/1/2018,1200.353394,265.083099,352.342407,622.761902,6418.962402,9522.475586,1048.290283,277.933655,513.246277,245.974152
11/1/2018,1318.584229,284.500458,352.243195,611.42218,7444.265625,10083.96973,1153.771118,281.748444,492.666229,241.039825
12/1/2018,1346.820679,286.233063,357.204376,605.321594,7247.780762,10449.2666,1107.203613,292.945038,484.861572,245.046646
