Date,ASIAN_PAINTS,BHARTI_AIRTEL,ICICI_BANK,INFOSYS,MARUTI_SUZUKI,NESTLE_INDIA,RELIANCE_INDUSTRIES,SBI_BANK,TATA_STEEL,WIPRO
1/1/2014,462.789978,292.354828,172.687637,353.205078,1714.807129,4837.601563,397.97345,156.549103,314.088379,193.31955
1/8/2014,459.957825,289.754303,170.648148,376.849731,1648.035034,4837.916504,416.379944,153.450653,298.256683,194.286224
1/15/2014,452.216278,268.862396,177.432617,383.67395,1674.455933,4649.968262,408.322693,156.440628,305.25766,200.894821
1/22/2014,451.272156,270.008392,167.621872,375.639191,1451.711914,4470.744629,399.698303,150.531433,291.255676,199.664505
1/29/2014,449.478424,278.95575,159.55452,364.365906,1504.786133,4472.274414,388.451172,142.990463,272.997559,196.442276
2/5/2014,456.653503,269.170929,159.390015,367.343842,1555.63147,4547.695313,380.653809,143.226288,310.389008,198.915924
2/12/2014,446.551788,266.394135,170.681076,375.945679,1587.067139,4520.980957,384.079926,141.391724,301.518524,196.848679
2/19/2014,445.702148,253.303635,169.52153,386.437439,1556.420654,4503.982422,382.969452,142.118011,287.118835,210.312347
2/26/2014,448.95929,253.524002,175.705673,388.194489,1484.308838,4230.130859,384.954163,146.169083,279.839417,208.192032
3/5/2014,453.443665,266.967133,197.111755,375.204987,1630.668701,4313.378418,413.473663,158.001648,273.793091,197.855774
3/12/2014,473.505402,260.311737,198.156143,342.156555,1735.56311,4280.77002,423.114044,161.628006,271.048431,190.929596
3/19/2014,495.313751,260.179474,206.009705,332.180695,1767.370239,4235.842285,415.222198,165.686783,291.733124,193.827286
3/26/2014,506.690033,278.162415,201.281113,338.208099,1793.419922,4365.998047,444.757721,180.294601,319.259521,198.067795
4/2/2014,508.530975,280.057648,198.855148,336.231323,1768.159546,4410.478516,446.128143,182.93071,322.958893,196.618973
4/9/2014,504.896271,286.184174,200.335388,333.084808,1785.20105,4344.81543,448.231079,186.856247,324.908051,208.139084
4/16/2014,506.359558,295.572357,211.823792,321.791107,1833.445801,4241.194824,457.611572,195.026138,334.971954,187.749222
4/23/2014,470.437164,295.440125,207.572174,324.723114,1779.675415,4242.229004,444.355988,196.544022,322.600861,185.487595
4/30/2014,485.967255,277.897919,209.628067,323.246826,1773.406982,4223.024414,455.201477,195.254532,318.901489,181.847809
5/7/2014,509.050323,281.997009,230.696945,333.600677,1945.769531,4363.75,501.560394,216.619034,339.625977,186.865784
5/14/2014,499.467773,306.547211,238.386032,318.639496,2037.059448,4103.976563,509.664886,240.39122,371.528076,174.585922
5/21/2014,493.000702,295.924896,238.073547,320.156586,2141.395996,4271.105469,518.670654,250.492966,379.28479,179.091461
5/28/2014,480.822113,316.596497,239.841614,308.05069,2175.757568,4344.621582,522.008362,251.549316,418.267395,174.691925
6/4/2014,505.69873,318.359558,243.624481,317.648346,2289.938477,4481.660645,533.023193,255.056412,444.56076,185.452255
6/11/2014,528.403992,299.054321,246.007233,336.294861,2245.454834,4517.377441,519.695862,254.06572,423.319214,189.41008
6/18/2014,550.430237,300.552917,244.224747,332.46817,2243.36499,4462.444824,505.271698,254.553879,423.557922,187.749222
6/25/2014,555.282776,295.660522,244.071945,333.654083,2400.497803,4470.899902,480.643524,256.59259,430.678223,190.346512
7/2/2014,561.847961,299.406952,239.793854,345.25824,2405.280518,4501.326172,474.516266,246.633469,408.362671,194.587051
7/9/2014,554.664307,294.514496,236.576797,334.037201,2341.0625,4452.587891,463.573029,240.837906,418.665192,189.851807
7/16/2014,573.503601,311.395599,251.796295,335.036621,2333.586182,4693.116699,491.515198,241.584503,456.294739,197.502396
7/23/2014,603.712952,312.365234,246.414703,348.634399,2325.785156,4680.278809,479.356049,238.354111,444.48349,197.966812
7/30/2014,602.285828,330.127808,252.186737,362.910583,2476.835449,4706.228516,469.008881,236.391968,455.970001,196.005371
8/6/2014,584.493164,326.072815,248.502838,370.382568,2476.231445,4808.634277,469.437988,232.525085,439.897064,193.86557
8/13/2014,585.492065,332.243439,261.956757,367.762421,2554.983398,5198.092285,480.977295,233.525299,441.682892,194.846298
8/20/2014,578.49884,324.397919,256.354492,374.960083,2577.550537,5305.922852,473.99173,238.631699,426.178162,196.540314
8/27/2014,593.960388,346.950226,270.080017,374.022949,2705.058594,5504.042969,488.225067,241.397858,421.469879,199.928314
9/3/2014,632.780701,359.477264,262.746124,386.994141,2715.078857,5789.197266,492.707245,245.73851,420.901642,209.503906
