Date,ADANI_PORTS,BPCL,COAL_INDIA,HCL_TECH,HERO_MOTOCORP,HINDUSTAN_UNILEVER,NTPC,ONGC,SUN_PHARMA,TECH_MAHINDRA
1/1/2014,141.428131,75.747383,125.318481,313.581055,1581.810303,500.562683,72.566559,131.195541,559.520142,374.217072
2/1/2014,160.965363,78.942688,136.666687,338.830994,1580.16394,482.256104,66.581001,138.718292,612.744385,391.033234
3/1/2014,180.406311,96.078239,161.731598,299.077972,1827.291992,531.688843,71.023705,151.740219,546.261597,375.976196
4/1/2014,181.128128,95.002708,163.467926,301.70166,1767.487793,498.279907,68.92083,156.836472,601.434143,383.682709
5/1/2014,218.951385,108.995186,207.744583,305.917175,1884.364624,529.757141,95.073433,182.429153,580.382141,402.708252
6/1/2014,234.542648,125.389381,215.614136,323.514618,2116.349854,544.683533,92.526291,204.958389,653.850708,450.664612
7/1/2014,250.759491,121.160301,205.952255,335.364929,2086.227295,609.998413,85.921494,190.726868,751.7453,450.37149
8/1/2014,273.257965,144.99971,199.454941,351.679169,2144.385986,659.617371,81.389961,209.855026,812.858154,499.436401
9/1/2014,268.137695,136.875732,191.19339,372.670166,2364.814209,662.771423,83.443764,197.09491,814.758972,526.215332
10/1/2014,275.963013,155.122223,207.548538,349.556915,2551.947021,655.974792,90.04248,195.564407,804.901489,532.133301
11/1/2014,280.407043,159.723984,198.838852,362.736359,2621.195557,704.172668,85.60334,183.134964,799.474426,557.992859
12/1/2014,308.230347,138.266922,214.998032,348.454742,2587.258301,680.882385,86.383202,164.768372,786.954407,548.164734
1/1/2015,329.484283,160.280472,202.115509,390.972351,2386.425537,835.35968,86.173218,172.10376,873.785583,606.277283
2/1/2015,334.507935,159.295914,221.38324,441.214569,2225.776123,794.691284,95.051498,159.074158,836.796631,599.355347
3/1/2015,297.748322,173.539978,203.263718,429.66925,2198.459961,782.508545,88.55407,150.061157,974.850403,532.365845
4/1/2015,306.781189,163.68367,214.423676,385.908966,1939.538208,761.72644,90.634506,150.828995,893.874634,525.306519
5/1/2015,312.867584,181.962234,231.151978,444.958984,2245.971436,769.967773,82.342926,163.654419,919.819336,468.705048
6/1/2015,298.400635,188.212112,249.003387,404.898376,2101.603271,821.16156,83.006256,153.607422,832.702637,403.945313
7/1/2015,314.973022,198.357422,259.525055,439.456146,2259.320313,834.300476,81.438385,135.299561,783.003235,448.668457
8/1/2015,344.483582,189.036179,216.551682,427.481934,2018.877197,779.307922,73.237274,118.728233,855.88623,440.576935
9/1/2015,289.775177,186.856506,193.646347,434.665924,2016.603516,737.531799,74.624214,113.791557,826.799622,476.806946
10/1/2015,287.110016,191.337357,189.094818,385.784515,2174.00708,724.768188,81.302864,122.795967,846.936462,461.237122
11/1/2015,259.731598,198.069641,195.390091,387.698639,2273.174072,741.179688,80.139648,116.43119,696.869934,456.360687
12/1/2015,252.850647,195.993927,194.946747,380.643127,2268.920898,787.503479,89.537239,122.420006,783.46521,446.265991
1/1/2016,205.70163,196.180679,189.124359,385.383942,2160.74292,745.652344,87.210793,114.57093,833.903442,428.942291
2/1/2016,190.631363,168.965958,183.833969,364.622345,2105.369141,757.974792,73.160339,98.290489,815.705566,355.498535
3/1/2016,240.057922,201.491318,172.573441,365.003326,2480.813721,793.664551,79.900002,108.418312,783.321777,406.314606
4/1/2016,231.897095,218.886749,186.27269,336.39859,2475.108154,792.204163,86.380066,110.412704,775.010986,415.896088
5/1/2016,187.065582,219.446289,188.439011,331.690887,2647.239502,774.222412,88.767448,107.109222,728.63269,462.26355
6/1/2016,201.376633,239.958496,202.407089,330.186462,2715.024658,820.180969,96.921791,109.929886,728.966858,432.663696
7/1/2016,226.250549,269.271942,212.107086,340.357239,2736.294922,851.381897,98.192986,111.861183,792.826721,417.435974
8/1/2016,255.992203,273.792694,215.663727,351.92923,3025.203369,846.306091,98.751068,120.094482,740.955627,405.882904
9/1/2016,249.956253,278.336182,208.421066,364.255707,2916.158203,800.90155,91.77494,132.214752,709.479553,363.502472
10/1/2016,298.876617,303.984406,210.03772,347.520599,2889.073242,771.96991,95.44622,147.798187,711.060608,377.181915
11/1/2016,270.5466,292.580139,199.561676,368.829865,2728.926514,778.891357,102.279465,148.828552,678.922302,420.081879
12/1/2016,261.346649,288.740875,194.000366,379.911316,2623.425293,769.038391,103.282532,150.30217,602.593689,423.285309
1/1/2017,285.587799,309.70929,199.949738,372.202515,2734.355713,796.073608,108.047012,159.099548,604.028564,391.510773
2/1/2017,293.765533,304.438751,208.162415,385.48642,2704.835205,805.84552,102.154106,152.030182,649.462219,432.376068
3/1/2017,330.614014,303.626984,189.247391,404.376953,2777.10791,848.515442,105.680595,146.976105,658.214111,397.528076
4/1/2017,319.0289,342.323547,190.174011,376.339813,2907.430664,870.106506,104.725639,148.20752,614.023865,360.991638
5/1/2017,330.029877,353.460693,180.481461,399.523071,3281.394775,992.998108,101.988152,140.620377,479.779449,337.658569
6/1/2017,353.443451,304.319366,167.901718,396.099426,3242.758789,1004.72406,101.192352,124.969437,531.52594,330.732239
7/1/2017,385.424225,336.831909,171.235687,415.650696,3228.873291,1085.25293,104.534645,134.582443,508.522156,334.065521
8/1/2017,383.813141,378.189728,163.192902,402.802826,3528.597412,1145.348999,107.43132,124.69136,460.218994,379.459869
9/1/2017,367.989807,336.939209,186.187027,408.150604,3333.80127,1102.295776,106.603722,135.813873,481.357635,405.782318
10/1/2017,420.343536,387.197693,196.910736,399.285858,3400.352539,1161.96936,116.88163,152.55011,532.401917,427.230286
11/1/2017,388.745697,360.209625,189.589722,395.646637,3209.35376,1194.834351,116.817116,144.208099,519.931946,433.611481
12/1/2017,396.217804,370.111176,180.756424,416.448853,3343.16333,1292.773193,114.140938,158.349838,549.975281,446.728363
1/1/2018,418.878418,351.952393,205.915878,461.367401,3260.404541,1294.190796,109.788101,165.042404,558.400818,542.97821
2/1/2018,398.855042,307.091492,212.515106,440.611084,3176.718506,1245.422852,105.274055,152.752457,515.502441,542.97821
3/1/2018,345.866486,315.45816,194.745331,453.87207,3177.714355,1260.166748,111.271118,144.234665,476.74472,566.065735
4/1/2018,397.829437,285.864349,207.500305,493.303528,3347.641357,1426.081421,112.877571,148.280197,508.810181,594.338013
5/1/2018,383.031738,298.115173,215.691101,426.576904,3179.597656,1523.002686,109.861366,146.103821,462.541565,631.340027
6/1/2018,364.473511,275.495453,192.465637,434.972961,3115.55542,1551.07251,104.681389,130.08905,543.090271,580.910889
7/1/2018,390.455017,287.635559,190.09938,453.217133,2954.956299,1648.953857,101.534081,136.084366,547.423462,603.333679
8/1/2018,376.127533,267.229858,208.191971,491.419617,2985.203613,1695.09021,112.45137,147.869553,628.646362,694.103149
9/1/2018,322.871826,281.546783,193.848953,511.884033,2691.114502,1531.589844,109.40239,145.528946,600.143677,675.703735
10/1/2018,313.006042,207.011948,193.776154,496.731812,2534.32251,1544.254639,106.192558,126.844246,560.422668,674.253601
11/1/2018,358.948273,244.110031,178.304642,478.597717,2802.997803,1679.769043,93.321754,116.125595,475.767731,639.856506
12/1/2018,380.594147,272.968323,175.283127,454.714966,2847.999023,1742.640625,99.141884,124.071465,415.789673,655.446167
