Date,ADANI_PORTS,BPCL,COAL_INDIA,HCL_TECH,HERO_MOTOCORP,HINDUSTAN_UNILEVER,NTPC,ONGC,SUN_PHARMA,TECH_MAHINDRA
1/1/2014,140.465729,67.571175,135.280548,269.434814,1626.030396,490.772766,74.517746,130.157944,564.747498,377.798065
1/8/2014,141.524399,68.542297,141.937698,283.299469,1601.038818,472.72934,75.321175,136.754166,573.634033,396.478088
1/15/2014,142.101852,70.442757,129.212936,308.852234,1625.283936,491.519104,75.034241,135.222885,551.584045,382.949738
1/22/2014,136.664169,71.466072,135.380569,302.911774,1582.137817,500.211578,73.743019,129.686783,553.057129,364.12323
1/29/2014,141.380035,74.201942,135.462067,301.486511,1560.87915,500.694489,74.718597,126.270866,558.617249,370.84549
2/5/2014,142.679306,75.110413,146.709839,316.798553,1541.781982,493.845917,78.280083,130.016602,578.148621,389.870941
2/12/2014,153.65094,74.13929,138.613632,319.712494,1555.613892,493.670258,79.287102,130.417053,579.526733,381.567627
2/19/2014,153.025375,77.658279,133.750458,333.110504,1532.547607,486.821716,68.624641,132.749298,588.365845,385.242859
2/26/2014,168.857208,79.391693,134.293839,318.583527,1553.648804,487.216766,67.439934,139.3927,588.698425,397.891632
3/5/2014,177.663406,86.596771,138.966827,312.809235,1587.088989,492.001923,69.542824,152.23175,551.488892,373.128082
3/12/2014,181.657486,93.833176,147.09021,303.884552,1675.581543,488.226501,69.838989,153.103424,550.633606,375.766785
3/19/2014,173.140015,93.050018,149.154999,300.583344,1721.281616,520.450012,68.180382,150.724075,550.585999,382.981201
3/26/2014,179.299545,93.331963,157.848923,305.045746,1768.27832,528.352295,72.238037,152.5616,543.742859,381.044037
4/2/2014,170.348984,91.494141,154.317032,302.465118,1759.908936,531.030212,70.727516,155.440491,558.949707,375.48407
4/9/2014,179.973221,93.081352,159.098679,306.411377,1744.976807,537.483765,74.28167,152.456772,585.847168,369.45282
4/16/2014,197.10437,100.829422,162.467575,312.400604,1781.24646,523.69873,73.3339,155.798553,589.22113,371.442291
4/23/2014,184.352249,96.161797,161.217819,305.032959,1685.916016,493.845917,69.690887,152.910294,607.7547,386.645935
4/30/2014,185.266541,97.634132,161.082001,298.153687,1715.033691,486.163177,67.706505,160.978317,595.066345,377.243134
5/7/2014,216.064117,106.384666,180.425919,309.01181,1908.954956,507.14801,72.741539,177.878128,578.908936,381.672302
5/14/2014,226.939514,116.691063,199.14502,282.184448,1856.692993,493.9776,84.262886,191.006531,558.284485,370.887329
