Date,ASIAN_PAINTS,BHARTI_AIRTEL,ICICI_BANK,INFOSYS,MARUTI_SUZUKI,NESTLE_INDIA,RELIANCE_INDUSTRIES,SBI_BANK,TATA_STEEL,WIPRO
1/1/2014,471.900513,297.599854,180.491821,354.124451,1637.58728,4776.751465,419.971497,166.504669,338.154175,194.303787
1/2/2014,458.352905,289.225494,176.824112,354.977509,1643.206055,4758.851563,413.662689,164.354141,333.73877,194.356522
1/3/2014,462.034698,289.886566,175.491867,364.243317,1670.276978,4798.744141,408.771637,161.864105,328.24939,195.850494
1/6/2014,462.978851,289.842529,171.166275,359.00766,1678.26355,4839.670898,403.998688,159.180649,324.788727,196.166855
1/7/2014,462.79007,292.354828,172.687607,353.204987,1714.807129,4837.603516,397.973419,156.549103,314.088379,193.319534
1/8/2014,463.073303,293.148163,173.361954,350.252655,1707.981445,4863.73291,400.85611,156.138809,312.059723,192.036484
1/9/2014,462.695618,290.195099,172.942551,352.556305,1683.510498,4831.036621,401.943024,154.601364,310.985718,190.08551
1/10/2014,465.197418,291.429199,168.510025,362.552521,1666.701294,4868.814941,404.943817,151.748138,305.734955,194.936539
1/13/2014,466.944,292.002228,173.715561,374.484741,1655.650513,4875.382324,415.387573,154.870193,307.206787,197.36203
1/14/2014,459.957794,289.754333,170.648148,376.849762,1648.034912,4837.917969,416.379944,153.450684,298.256683,194.286224
1/15/2014,465.386292,292.266663,174.069168,379.066589,1671.205688,4704.973145,418.412018,155.021088,298.256683,196.887451
1/16/2014,468.737793,278.118347,174.480362,380.512207,1659.87561,4624.916992,418.293884,154.40329,303.109589,200.508194
1/17/2014,464.253387,274.327789,170.22876,380.854431,1650.403198,4710.59375,418.010315,152.99321,300.36496,194.198349
1/20/2014,462.695618,272.16806,171.725433,383.086548,1651.331909,4684.733398,410.898193,154.780609,298.13736,201.527573
1/21/2014,452.216339,268.862427,177.432632,383.67395,1674.455933,4649.967773,408.322662,156.440643,305.25769,200.894821
1/22/2014,447.259949,273.049591,178.78952,384.843719,1676.545654,4624.244141,412.174133,155.228607,312.218811,204.057556
1/23/2014,446.69339,277.369049,177.481964,387.469238,1666.980225,4586.061523,409.267822,156.294434,309.593475,204.39328
1/24/2014,451.649841,276.178986,174.003387,384.021423,1646.131226,4574.412598,409.716736,152.983795,299.489838,202.555679
1/27/2014,449.336914,270.669495,166.125183,381.319214,1580.009155,4544.143555,398.280609,150.399353,281.430573,201.707596
1/28/2014,451.272247,270.008362,167.621857,375.639191,1451.71228,4470.743652,399.698273,150.531433,291.255737,200.718124
1/29/2014,455.756683,265.909302,164.792938,379.791931,1554.934692,4523.185059,395.421539,148.42807,284.811646,202.060974
1/30/2014,451.838715,271.859619,160.319305,378.474091,1521.177368,4455.003418,390.199738,143.136688,275.702454,202.078629
1/31/2014,445.843719,277.809784,162.58078,377.932617,1518.716187,4537.306641,392.633362,143.89595,283.339874,203.174103
2/3/2014,444.805298,269.69986,158.501892,370.704895,1505.111206,4443.53418,388.120361,140.523987,273.196442,199.993744
2/4/2014,449.478516,278.955811,159.554504,364.365967,1504.786255,4472.275391,388.451172,142.990479,272.997559,196.442261
2/5/2014,456.842285,277.19278,158.904846,365.888092,1492.109619,4508.163574,385.686676,143.471512,285.806122,197.820419
2/6/2014,456.889526,277.897949,157.498596,364.039032,1522.66333,4505.375977,385.544891,141.882202,287.476807,200.841827
2/7/2014,463.073303,278.118347,158.181168,364.371063,1546.623291,4510.546875,384.812408,144.004425,305.85434,198.226837
2/10/2014,459.721802,270.978027,157.819305,364.554901,1568.493652,4526.019043,388.262115,142.830124,304.303009,198.968933
2/11/2014,456.653473,269.170929,159.390045,367.343872,1555.631226,4547.696289,380.653809,143.226288,310.388977,198.915909
2/12/2014,450.70578,271.639191,164.348862,367.732086,1529.582031,4560.739746,386.300995,144.565628,297.819092,198.650909
2/13/2014,443.766724,266.746796,161.380127,366.388641,1519.366455,4591.996582,381.575348,141.448318,292.250214,196.353928
2/14/2014,445.890961,269.038696,162.564346,372.431396,1526.145874,4565.282227,388.214935,139.132751,295.193756,199.304626
2/17/2014,446.504639,268.950592,166.026505,374.132324,1547.273315,4507.219238,383.465637,138.972397,297.142883,198.191513
2/18/2014,446.551849,266.394165,170.681061,375.945679,1587.067139,4520.981445,384.079926,141.391739,301.518524,196.848663
2/19/2014,442.397797,266.967163,169.513306,383.500336,1577.455566,4549.04541,383.985382,142.297226,297.580475,199.499008
2/20/2014,436.355713,261.678101,165.86203,379.388428,1563.292969,4536.093262,380.582886,139.736389,292.210419,199.870026
2/21/2014,438.243835,254.052994,168.542892,383.270386,1555.213257,4532.04541,383.394714,141.773727,297.461121,202.060974
2/24/2014,443.908325,249.380905,170.426117,383.17337,1563.339478,4530.380859,383.91449,142.49527,293.721985,204.287262
2/25/2014,445.702148,253.303619,169.521515,386.437408,1556.420776,4503.981445,382.969391,142.117996,287.118805,210.312332
2/26/2014,449.90332,254.00882,170.459,388.598083,1543.18689,4497.460938,383.040253,143.523376,277.850525,213.210007
2/28/2014,446.504639,253.435898,171.659668,390.26828,1473.164551,4362.356445,377.700287,144.471298,273.713562,210.877747
3/3/2014,446.598999,252.554367,169.348846,387.494781,1468.939087,4194.375488,379.70871,143.226288,274.787567,206.955246
3/4/2014,448.959198,253.524017,175.705704,388.19455,1484.308838,4230.130371,384.954163,146.169083,279.839417,208.192047
3/5/2014,448.109528,249.292755,180.450684,389.767792,1506.689941,4301.95459,381.31543,148.413925,283.021637,208.351089
3/6/2014,447.920746,251.937317,186.453934,391.851837,1532.22876,4392.12793,388.451172,148.668594,289.744202,206.566528
3/7/2014,453.726868,265.688965,197.580475,382.172241,1612.094971,4402.879395,410.661896,155.511581,294.557281,199.852371
3/10/2014,457.455963,268.818329,196.346939,375.205078,1672.459351,4328.174805,418.601105,159.529633,289.783936,196.972351
3/11/2014,453.443542,266.967163,197.111755,375.205078,1630.668945,4313.378418,413.473694,159.415436,273.793091,197.855804
3/12/2014,466.09436,264.278564,199.134766,375.015991,1638.748291,4311.083984,411.677917,156.52243,270.173309,200.135071
3/13/2014,465.480682,265.248199,200.368286,342.999359,1622.124878,4293.724609,415.434784,157.193314,267.945709,199.092621
3/14/2014,468.124176,260.135406,199.628174,346.263336,1613.209595,4274.115723,418.742798,157.355133,271.883759,193.314896
3/18/2014,473.505402,260.311676,198.156143,342.156494,1735.56311,4280.772461,423.114105,161.628021,271.048401,190.929581
