Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-01,21222.189453125,21244.349609375,21133.8203125,21140.48046875,4000,0,0
2014-01-02,21179.91015625,21331.3203125,20846.669921875,20888.330078125,9300,0,0
2014-01-03,20819.580078125,20885.1796875,20731.330078125,20851.330078125,9300,0,0
2014-01-06,20913.7890625,20913.7890625,20721.98046875,20787.30078125,7600,0,0
2014-01-07,20845.76953125,20890.48046875,20637.1796875,20693.240234375,8100,0,0
2014-01-08,20767.419921875,20786.41015625,20688.1796875,20729.380859375,8000,0,0
2014-01-09,20755.73046875,20778.130859375,20652.689453125,20713.369140625,9000,0,0
2014-01-10,20760.720703125,20971.23046875,20625.169921875,20758.490234375,10400,0,0
2014-01-13,20850.5390625,21169.080078125,20850.5390625,21134.2109375,7900,0,0
2014-01-14,21115.0,21154.759765625,21009.05078125,21032.880859375,5600,0,0
2014-01-15,21091.4609375,21302.73046875,21091.4609375,21289.490234375,9400,0,0
2014-01-16,21366.91015625,21379.2890625,21199.650390625,21265.1796875,13400,0,0
2014-01-17,21236.650390625,21270.109375,21015.609375,21063.619140625,12000,0,0
2014-01-20,21083.529296875,21221.369140625,21001.130859375,21205.05078125,6000,0,0
2014-01-21,21237.9609375,21302.51953125,21189.19921875,21251.119140625,9400,0,0
2014-01-22,21251.650390625,21377.91015625,21168.4296875,21337.669921875,13400,0,0
2014-01-23,21319.689453125,21409.66015625,21264.7109375,21373.66015625,6500,0,0
2014-01-24,21289.150390625,21333.66015625,21123.990234375,21133.560546875,10800,0,0
2014-01-27,20899.029296875,20899.029296875,20688.029296875,20707.44921875,10100,0,0
2014-01-28,20721.169921875,20795.349609375,20554.279296875,20683.509765625,8200,0,0
2014-01-29,20784.0390625,20828.6796875,20613.619140625,20647.30078125,7800,0,0
2014-01-30,20491.740234375,20528.41015625,20343.779296875,20498.25,12600,0,0
2014-01-31,20544.640625,20572.3203125,20448.4296875,20513.849609375,6100,0,0
2014-02-03,20479.029296875,20480.349609375,20182.19921875,20209.259765625,5700,0,0
2014-02-04,20050.990234375,20255.51953125,19963.119140625,20211.9296875,9800,0,0
2014-02-05,20241.119140625,20289.330078125,20076.099609375,20261.029296875,9300,0,0
2014-02-06,20286.08984375,20358.189453125,20079.8203125,20310.740234375,12400,0,0
2014-02-07,20441.0390625,20450.509765625,20282.30078125,20376.560546875,11100,0,0
2014-02-10,20429.16015625,20434.5,20312.2109375,20334.26953125,7900,0,0
2014-02-11,20400.939453125,20443.349609375,20349.509765625,20363.369140625,9400,0,0
2014-02-12,20449.830078125,20516.599609375,20427.23046875,20448.490234375,10100,0,0
2014-02-13,20478.669921875,20503.859375,20164.669921875,20193.349609375,7900,0,0
2014-02-14,20265.130859375,20391.94921875,20149.009765625,20366.8203125,8300,0,0
2014-02-17,20438.869140625,20492.4296875,20338.94921875,20464.060546875,6100,0,0
2014-02-18,20457.560546875,20685.01953125,20436.48046875,20634.2109375,9400,0,0
2014-02-19,20643.849609375,20750.51953125,20629.560546875,20722.970703125,4700,0,0
2014-02-20,20661.0703125,20662.66015625,20522.0390625,20536.640625,6000,0,0
2014-02-21,20600.580078125,20725.0390625,20599.91015625,20700.75,6300,0,0
2014-02-24,20695.48046875,20828.630859375,20637.30078125,20811.439453125,12500,0,0
2014-02-25,20877.720703125,20912.5390625,20777.73046875,20852.470703125,9500,0,0
2014-02-26,20869.609375,21005.0390625,20860.01953125,20986.990234375,8500,0,0
2014-02-28,20995.390625,21140.509765625,20989.66015625,21120.119140625,11400,0,0
2014-03-03,21079.26953125,21140.0,20920.98046875,20946.650390625,121600,0,0
2014-03-04,20947.0,21224.640625,20940.390625,21209.73046875,9700,0,0
2014-03-05,21280.359375,21333.19921875,21176.16015625,21276.859375,7500,0,0
2014-03-06,21336.3203125,21525.140625,21329.880859375,21513.869140625,9700,0,0
2014-03-07,21539.439453125,21960.890625,21539.439453125,21919.7890625,15200,0,0
2014-03-10,21819.189453125,22023.98046875,21805.220703125,21934.830078125,15500,0,0
2014-03-11,21918.830078125,22018.51953125,21772.109375,21826.419921875,12000,0,0
2014-03-12,21793.3203125,21965.94921875,21768.140625,21856.220703125,10400,0,0
2014-03-13,21736.609375,21991.359375,21720.130859375,21774.609375,9500,0,0
2014-03-14,21648.05078125,21853.3203125,21573.48046875,21809.80078125,8800,0,0
2014-03-18,21849.650390625,22040.720703125,21785.380859375,21832.609375,8600,0,0
2014-03-19,21872.6796875,21895.830078125,21782.009765625,21832.859375,11000,0,0
2014-03-20,21797.609375,21853.25,21704.66015625,21740.08984375,7600,0,0
2014-03-21,21823.51953125,21870.109375,21729.900390625,21753.75,60600,0,0
2014-03-24,21827.5,22074.33984375,21827.5,22055.48046875,9000,0,0
2014-03-25,21948.310546875,22079.9609375,21916.869140625,22055.2109375,7800,0,0
2014-03-26,22134.7109375,22172.19921875,22020.580078125,22095.30078125,10600,0,0
2014-03-27,22116.23046875,22307.740234375,22094.2890625,22214.369140625,10400,0,0
2014-03-28,22273.439453125,22363.970703125,22185.109375,22339.970703125,9200,0,0
2014-03-31,22423.140625,22467.2109375,22253.779296875,22386.26953125,11200,0,0
2014-04-01,22455.23046875,22485.76953125,22295.650390625,22446.439453125,11000,0,0
