Date,ADANI_PORTS,BPCL,COAL_INDIA,HCL_TECH,HERO_MOTOCORP,HINDUSTAN_UNILEVER,NTPC,ONGC,SUN_PHARMA,TECH_MAHINDRA
1/1/2014,150.426819,72.927994,143.55899,269.895874,1639.272949,502.538422,79.309593,135.74115,543.980591,382.834564
1/2/2014,146.913971,70.891777,139.112717,268.298126,1635.107544,493.802063,77.415802,132.725769,545.406128,380.321564
1/3/2014,144.267319,68.772018,136.385986,270.164001,1651.218384,496.084839,75.608116,129.945938,550.966309,384.384186
1/6/2014,145.181595,68.876427,135.747284,268.212341,1625.951782,494.767731,75.837654,132.372375,559.092468,380.269196
1/7/2014,140.465729,67.571182,135.280533,269.434753,1626.030518,490.772797,74.517754,130.157898,564.747559,377.798096
1/8/2014,145.085373,66.318108,141.88858,267.300934,1622.611694,490.948456,74.345573,128.720871,571.115356,385.452271
1/9/2014,143.930466,67.926201,145.253998,275.63266,1625.480347,486.558289,76.698471,132.066147,576.913025,383.033569
1/10/2014,142.727448,68.145493,141.962265,278.409821,1602.531982,482.738861,75.407249,133.832977,579.194153,393.4729
1/13/2014,138.348404,69.231476,142.600952,288.092682,1600.881714,479.139038,76.181992,138.002731,572.49353,394.645721
1/14/2014,141.524399,68.542274,141.937698,283.299561,1601.038696,472.729462,75.321159,136.754181,573.634094,396.478058
1/15/2014,144.459808,68.354332,145.032944,285.304657,1629.566772,478.69989,75.895042,137.484482,573.586548,394.551514
1/16/2014,145.133484,68.991302,148.693161,298.247253,1632.04248,484.75824,76.41153,135.199341,563.369446,390.823822
1/17/2014,143.06427,71.027519,147.79657,295.877502,1631.335449,490.728882,75.522018,135.458481,564.557312,371.766907
1/20/2014,145.277847,71.539192,146.410995,306.804138,1639.390625,487.392365,75.665482,135.293579,560.185425,382.960266
1/21/2014,142.101852,70.442764,142.90625,308.852295,1625.283813,491.519043,75.034225,135.222885,551.583923,382.949799
1/22/2014,142.342438,71.831573,142.254181,310.701843,1618.878662,497.358063,76.124588,136.54216,567.836426,385.776886
1/23/2014,142.727448,72.531174,140.787109,303.594025,1613.92749,497.928802,75.235077,134.327698,579.146484,383.368622
1/24/2014,139.551422,71.664505,140.135056,303.626465,1600.606567,496.787415,75.464638,133.432526,573.681519,375.599243
1/27/2014,138.540878,70.515862,135.299072,306.346863,1584.967041,505.084595,74.288185,130.511322,568.169128,368.625671
1/28/2014,136.664154,71.466087,135.380554,303.755402,1582.137817,500.211639,73.743019,129.686798,553.057129,364.123199
1/29/2014,141.13945,74.118401,136.222809,305.873871,1627.994995,500.12384,73.341286,130.511322,562.13385,366.384918
1/30/2014,136.327301,73.617188,133.750473,308.432892,1570.310181,500.826263,73.570847,128.249756,564.177307,359.840637
1/31/2014,141.428162,75.747391,134.456848,314.454498,1547.59729,500.562744,74.903641,129.828125,559.520142,374.217072
2/3/2014,138.540878,74.442108,133.533096,312.454437,1541.938721,500.255554,74.637077,126.176613,564.842651,369.222473
2/4/2014,141.38002,74.201935,135.462067,301.486511,1560.878906,500.69455,77.124992,126.270866,558.617188,370.84549
2/5/2014,140.225128,74.055756,138.667953,299.712433,1562.529541,500.475037,78.428177,127.330956,554.672974,385.295258
2/6/2014,140.898804,73.690292,145.242737,302.948944,1559.385864,515.006409,79.139015,126.223724,555.908508,386.478485
2/7/2014,141.957504,73.544075,146.492493,301.088806,1576.12561,507.191864,80.531044,126.883369,571.828186,381.798035
