Date,Expiry,Strike,Call,Put,Underlying Value
1-Mar-19,28-Mar-19,11550,178.8,736.15,-
1-Mar-19,28-Mar-19,11600,4.3,678.9,-
1-Mar-19,28-Mar-19,11650,6.9,809.6,-
1-Mar-19,28-Mar-19,11700,3.25,775.7,-
1-Mar-19,28-Mar-19,11750,131.45,885.15,-
1-Mar-19,28-Mar-19,11800,2.65,880,-
1-Mar-19,28-Mar-19,11850,111.9,963.75,-
1-Mar-19,28-Mar-19,11900,2.5,966.8,-
1-Mar-19,28-Mar-19,11950,94.75,1044.75,-
1-Mar-19,28-Mar-19,12000,2.5,1072.85,-
1-Mar-19,28-Mar-19,12050,79.9,1128.05,-
1-Mar-19,28-Mar-19,12100,2.45,1228.2,-
1-Mar-19,28-Mar-19,12150,67.05,1213.35,-
1-Mar-19,28-Mar-19,12200,1.15,1300,-
1-Mar-19,28-Mar-19,12250,19.95,1300.45,-
1-Mar-19,28-Mar-19,12300,1.5,1534.4,-
1-Mar-19,28-Mar-19,12350,7.4,1319.1,-
1-Mar-19,28-Mar-19,12400,1,1465.35,-
1-Mar-19,28-Mar-19,12450,7.85,1325.6,-
1-Mar-19,28-Mar-19,12500,1.05,1565.7,-
1-Mar-19,28-Mar-19,12550,3.65,1361.2,-
1-Mar-19,28-Mar-19,12600,198.75,1690.85,-
1-Mar-19,28-Mar-19,12700,11.4,1808.9,-
1-Mar-19,28-Mar-19,12800,207.95,1822,-
1-Mar-19,28-Mar-19,12900,1.05,1797.5,-
1-Mar-19,28-Mar-19,13000,1,2080,-
1-Mar-19,28-Mar-19,13100,80.35,1680.95,-
1-Mar-19,28-Mar-19,13200,58.4,1645.8,-
1-Mar-19,28-Mar-19,13300,1.5,1719.55,-
1-Mar-19,28-Mar-19,13400,3,1741.3,-
1-Mar-19,28-Mar-19,13500,0.5,2700,-
1-Mar-19,28-Mar-19,13600,3,1799,-
1-Mar-19,28-Mar-19,13700,2,1799.15,-
1-Mar-19,28-Mar-19,13800,3,1813.35,-
1-Mar-19,28-Mar-19,13900,19.85,1832.05,-
1-Mar-19,28-Mar-19,14000,1.1,3063.2,-
1-Mar-19,28-Mar-19,14100,1,3368.75,-
1-Mar-19,28-Mar-19,7600,3277.55,1.1,-
1-Mar-19,28-Mar-19,7700,2970.55,7.75,-
1-Mar-19,28-Mar-19,7800,2879.65,9.75,-
1-Mar-19,28-Mar-19,7900,2789.15,3.05,-
1-Mar-19,28-Mar-19,8000,2893.15,1.9,-
1-Mar-19,28-Mar-19,8100,2609.7,18.4,-
1-Mar-19,28-Mar-19,8200,2520.85,22.4,-
1-Mar-19,28-Mar-19,8300,2432.65,27.1,-
1-Mar-19,28-Mar-19,8400,2345.25,32.55,-
1-Mar-19,28-Mar-19,8500,2389.75,3,-
1-Mar-19,28-Mar-19,8600,2285.1,3.05,-
1-Mar-19,28-Mar-19,8700,2185.1,1.65,-
1-Mar-19,28-Mar-19,8800,2005,63.8,-
1-Mar-19,28-Mar-19,8900,1922.75,74.4,-
1-Mar-19,28-Mar-19,9000,1894.7,4.2,-
1-Mar-19,28-Mar-19,9100,1732.15,3.4,-
1-Mar-19,28-Mar-19,9150,1685.15,6.15,-
1-Mar-19,28-Mar-19,9200,1600,6,-
1-Mar-19,28-Mar-19,9250,1589.45,8.7,-
1-Mar-19,28-Mar-19,9300,1595.2,5.35,-
1-Mar-19,28-Mar-19,9350,1615.35,13.25,-
1-Mar-19,28-Mar-19,9400,1438.2,5.35,-
1-Mar-19,28-Mar-19,9450,1521.7,3.05,-
1-Mar-19,28-Mar-19,9500,1406.65,6.3,-
1-Mar-19,28-Mar-19,9550,1429.35,23.6,-
1-Mar-19,28-Mar-19,9600,1302.15,6.9,-
1-Mar-19,28-Mar-19,9650,1338.45,30.85,-
1-Mar-19,28-Mar-19,9700,1218.45,9.05,-
1-Mar-19,28-Mar-19,9750,1249.25,39.8,-
1-Mar-19,28-Mar-19,9800,1107,11.35,-
1-Mar-19,28-Mar-19,9850,1162.05,50.75,-
