Symbol,Date,Expiry,Strike,Call,Put,Underlying Value
NTPC,1-Mar-19,28-Mar-19,105,45.3,0.05,143
NTPC,1-Mar-19,28-Mar-19,192.5,0.45,41.1,143
NTPC,1-Mar-19,28-Mar-19,110,40.45,0.1,143
NTPC,1-Mar-19,28-Mar-19,112.5,38,0.15,143
NTPC,1-Mar-19,28-Mar-19,115,35.65,0.2,143
NTPC,1-Mar-19,28-Mar-19,117.5,33.3,0.3,143
NTPC,1-Mar-19,28-Mar-19,120,18.5,0.5,143
NTPC,1-Mar-19,28-Mar-19,122.5,28.7,0.6,143
NTPC,1-Mar-19,28-Mar-19,125,26.45,0.2,143
NTPC,1-Mar-19,28-Mar-19,127.5,24.3,2.5,143
NTPC,1-Mar-19,28-Mar-19,130,13.95,0.6,143
NTPC,1-Mar-19,28-Mar-19,132.5,10.95,0.75,143
NTPC,1-Mar-19,28-Mar-19,135,9.9,1.15,143
NTPC,1-Mar-19,28-Mar-19,137.5,7.75,1.65,143
NTPC,1-Mar-19,28-Mar-19,140,5.85,2.4,143
NTPC,1-Mar-19,28-Mar-19,142.5,4.35,3.35,143
NTPC,1-Mar-19,28-Mar-19,145,3.25,4.6,143
NTPC,1-Mar-19,28-Mar-19,147.5,2.3,6.3,143
NTPC,1-Mar-19,28-Mar-19,150,1.65,8.3,143
NTPC,1-Mar-19,28-Mar-19,152.5,1.15,12.1,143
NTPC,1-Mar-19,28-Mar-19,155,0.75,13.95,143
NTPC,1-Mar-19,28-Mar-19,157.5,5.85,17.25,143
NTPC,1-Mar-19,28-Mar-19,160,0.4,17.8,143
NTPC,1-Mar-19,28-Mar-19,162.5,4.3,15.5,143
NTPC,1-Mar-19,28-Mar-19,165,3.65,21.8,143
NTPC,1-Mar-19,28-Mar-19,167.5,3.1,19.2,143
NTPC,1-Mar-19,28-Mar-19,170,2.6,27.6,143
NTPC,1-Mar-19,28-Mar-19,172.5,0.5,23.2,143
NTPC,1-Mar-19,28-Mar-19,175,1.8,31.5,143
NTPC,1-Mar-19,28-Mar-19,177.5,1.5,27.45,143
NTPC,1-Mar-19,28-Mar-19,180,0.3,41,143
NTPC,1-Mar-19,28-Mar-19,182.5,1.05,31.85,143
NTPC,1-Mar-19,28-Mar-19,185,0.85,34.15,143
NTPC,1-Mar-19,28-Mar-19,187.5,0.7,36.45,143
NTPC,1-Mar-19,28-Mar-19,190,0.55,38.75,143
NTPC,1-Mar-19,28-Mar-19,107.5,42.85,0.05,143
NTPC,5-Mar-19,28-Mar-19,105,45.3,0.05,147
NTPC,5-Mar-19,28-Mar-19,192.5,0.45,41.1,147
NTPC,5-Mar-19,28-Mar-19,110,40.45,0.1,147
NTPC,5-Mar-19,28-Mar-19,112.5,38,0.15,147
NTPC,5-Mar-19,28-Mar-19,115,35.65,0.2,147
NTPC,5-Mar-19,28-Mar-19,117.5,33.3,0.3,147
NTPC,5-Mar-19,28-Mar-19,120,18.5,0.5,147
NTPC,5-Mar-19,28-Mar-19,122.5,28.7,0.6,147
NTPC,5-Mar-19,28-Mar-19,125,26.45,0.2,147
NTPC,5-Mar-19,28-Mar-19,127.5,24.3,2.5,147
NTPC,5-Mar-19,28-Mar-19,130,16.6,0.35,147
NTPC,5-Mar-19,28-Mar-19,132.5,10.95,0.5,147
NTPC,5-Mar-19,28-Mar-19,135,9.9,0.6,147
NTPC,5-Mar-19,28-Mar-19,137.5,10.5,0.9,147
NTPC,5-Mar-19,28-Mar-19,140,8.25,1.3,147
NTPC,5-Mar-19,28-Mar-19,142.5,6.4,1.95,147
NTPC,5-Mar-19,28-Mar-19,145,4.8,2.75,147
NTPC,5-Mar-19,28-Mar-19,147.5,3.5,3.8,147
NTPC,5-Mar-19,28-Mar-19,150,2.4,5.95,147
NTPC,5-Mar-19,28-Mar-19,152.5,1.65,12.1,147
NTPC,5-Mar-19,28-Mar-19,155,1.05,13.95,147
NTPC,5-Mar-19,28-Mar-19,157.5,5.85,17.25,147
NTPC,5-Mar-19,28-Mar-19,160,0.5,17.8,147
NTPC,5-Mar-19,28-Mar-19,162.5,4.3,15.5,147
NTPC,5-Mar-19,28-Mar-19,165,3.65,21.8,147
NTPC,5-Mar-19,28-Mar-19,167.5,3.1,19.2,147
NTPC,5-Mar-19,28-Mar-19,170,2.6,27.6,147
NTPC,5-Mar-19,28-Mar-19,172.5,0.5,23.2,147
NTPC,5-Mar-19,28-Mar-19,175,1.8,31.5,147
NTPC,5-Mar-19,28-Mar-19,177.5,1.5,27.45,147
NTPC,5-Mar-19,28-Mar-19,180,0.25,41,147
NTPC,5-Mar-19,28-Mar-19,182.5,1.05,31.85,147
NTPC,5-Mar-19,28-Mar-19,185,0.85,34.15,147
NTPC,5-Mar-19,28-Mar-19,187.5,0.7,36.45,147
NTPC,5-Mar-19,28-Mar-19,190,0.55,38.75,147
NTPC,5-Mar-19,28-Mar-19,107.5,42.85,0.05,147
NTPC,6-Mar-19,28-Mar-19,105,45.3,0.05,148.95
NTPC,6-Mar-19,28-Mar-19,192.5,0.45,41.1,148.95
NTPC,6-Mar-19,28-Mar-19,110,40.45,0.1,148.95
NTPC,6-Mar-19,28-Mar-19,112.5,38,0.15,148.95
NTPC,6-Mar-19,28-Mar-19,115,35.65,0.2,148.95
NTPC,6-Mar-19,28-Mar-19,117.5,33.3,0.3,148.95
NTPC,6-Mar-19,28-Mar-19,120,18.5,0.5,148.95
NTPC,6-Mar-19,28-Mar-19,122.5,28.7,0.6,148.95
NTPC,6-Mar-19,28-Mar-19,125,26.45,0.25,148.95
NTPC,6-Mar-19,28-Mar-19,127.5,24.3,2.5,148.95
NTPC,6-Mar-19,28-Mar-19,130,16.6,0.25,148.95
NTPC,6-Mar-19,28-Mar-19,132.5,10.95,0.3,148.95
NTPC,6-Mar-19,28-Mar-19,135,12.8,0.5,148.95
NTPC,6-Mar-19,28-Mar-19,137.5,10.5,0.75,148.95
NTPC,6-Mar-19,28-Mar-19,140,9.1,1,148.95
NTPC,6-Mar-19,28-Mar-19,142.5,7.5,1.5,148.95
NTPC,6-Mar-19,28-Mar-19,145,6,2.1,148.95
NTPC,6-Mar-19,28-Mar-19,147.5,4.4,3.05,148.95
NTPC,6-Mar-19,28-Mar-19,150,3.15,4.15,148.95
NTPC,6-Mar-19,28-Mar-19,152.5,2.15,6,148.95
NTPC,6-Mar-19,28-Mar-19,155,1.5,13.95,148.95
NTPC,6-Mar-19,28-Mar-19,157.5,1.05,17.25,148.95
NTPC,6-Mar-19,28-Mar-19,160,0.65,17.8,148.95
NTPC,6-Mar-19,28-Mar-19,162.5,4.3,15.5,148.95
NTPC,6-Mar-19,28-Mar-19,165,3.65,21.8,148.95
NTPC,6-Mar-19,28-Mar-19,167.5,3.1,19.2,148.95
NTPC,6-Mar-19,28-Mar-19,170,2.6,27.6,148.95
NTPC,6-Mar-19,28-Mar-19,172.5,0.5,23.2,148.95
NTPC,6-Mar-19,28-Mar-19,175,1.8,31.5,148.95
NTPC,6-Mar-19,28-Mar-19,177.5,1.5,27.45,148.95
